新北市立圖書館106年09月最新到館館藏清單,,,,,
序號,條碼號,書目資訊,館藏地,索書號,資料類型
96,A2137437,"新手必學!只用平底鍋, 3步驟學會101道日式家常菜 : 一鍋到底, 輕鬆快速搞定少油無負擔、簡單又健康的超好吃料理 = Jacko's frying pan cookbook / 蔣偉文, 潘盟仁作臺北市 : 日日幸福出版 ; 2017.06 初版",三重東區開架閱覽,427.1 8476,中文圖書
97,A1273974,"靜下心去愛 : 在靜定中找到自己也圓滿身邊的關係 / 洪仲清著臺北市 : 遠流, 2016.09 初版",三重東區開架閱覽,199.8 8273,中文圖書
98,A2135927,"韓語中高級詞彙寶典 : 慣用語、俗諺、漢字成語常用字彙解析 / 崔權鎮, 宋鏡玉著 ; 曾晏詩譯臺北市 : 聯合文學出版 ; 2017.06 初版",三重東區開架閱覽,803.289 7545,中文圖書
99,A2131471,"100％安心!純天然, 無添加!146款超人氣流行飲品 : 1分鐘製作各種蔬果汁、茶飲、咖啡、凍飲、調酒與輕食 / 花祥育作 ; 樸真奕睿影像攝影臺北市 : 日日幸福出版 ; 2017.05 初版",三重南區開架閱覽,427.4 8643,中文圖書
100,A2142377,"100％滿分命中奇蹟 : 7000英文單字X文法 + 句型 + 片語 : 想要創造英文奇蹟, 靠這本就能搞定 / 許豪作臺北市 : 捷徑出版 ; 2016.08 初版",三重南區開架閱覽,805.18 846,中文圖書
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
